,,,,,,,,
Nº,Selecionador por,Nome do Arquivo,Título,Nota - Grazi,Nota - Hugo,Nota- Jéssica,Somatório,Ano
1,Grazi,10.1007%2Fs40846-016-0184-2.pdf,“Evaluation of Kinect 3D Sensor for Healthcare Imaging”,0.5,0.5,0.5,1.5,2016
2,Grazi,10.1007%2Fs13272-015-0157-0.pdf,“Helicopter emergency medical service: motivation for focused research”,0.5,0.5,0.5,1.5,2015
3,Grazi,10.1007%2Fs12652-016-0374-3.pdf,“Exploring the ambient assisted living domain: a systematic review”,0.5,0,0,0.5,2016
4,Grazi,10.1007%2Fs12243-016-0550-7.pdf,“Majority-consensus fusion approach for eldery IoT-based healthcares applications”,1.0,1.0,1.0,3.0,2016
5,Jessica,10.1007_2Fs00779-014-0815-y.pdf,“3D ActionSLAM: Wearable person tracking in multi-floor”,0,0,0.5,0.5,2014
6,Jessica,10.1007_2Fs10514-016-9586-9.pdf,“Enabling Personalised Medical Support for chronic disease management through a hybrid robot-cloud approach”,0.5,0,0.5,1.0,2016
7,Jessica,10.1007_2Fs11036-014-0516-9.pdf,“Behavior and Capability Based Access Control Model for Personalized TeleHealthCare Assistance”,0.5,0.5,0.5,1.5,2014
8,Jessica,10.1007_2Fs11042-016-3267-8.pdf,"“Towards online and personalized daily activity recognition, habit modeling, and anomaly detection for the solitary elderly through unobtrusive sensing”",0.5,1.0,0.5,2.0,2016
9,Jessica,10.1007_2Fs11276-018-1694-3.pdf,“Techonological aspects of WBANs for health monitoring: A comprehensive review.”,1.0,1.0,1.0,3.0,2018
10,Hugo,10.1007_2Fs00779-015-0856-x,"Information and communications technologies for elderly
ubiquitous healthcare in a smart home",0.5,0.5,0,1.0,2015
11,Hugo,10.1007_2Fs10586-017-1298-1,"A new computing environment for collective privacy protection
from constrained healthcare devices to IoT cloud services",0.5,0.5,0.5,1.5,2017
12,Hugo,10.1007_2Fs10916-014-0103-4,"Multi-Sources Data Fusion Framework for Remote Triage
Prioritization in Telehealth",1.0,1,1.0,3.0,2014
13,Hugo,10.1007_2Fs13042-012-0134-4,"Adaptive probability scheme for behaviour monitoring
of the elderly using a specialised ambient device",0.5,0.5,0.5,1.5,2014
